station,depth,model,params
mdamalta,-500,FX,"[{""r"":-29.49874057,""s"":0.48824019,""n"":1.3661881,""m"":0.00505071,""h"":11.25776787}]"
mdamalta,-500,VG,"[{""r"":-0.16101029,""s"":0.4973755,""a"":0.10493781,""n"":1.10827735}]"
mdamanha,-100,FX,"[{""r"":0.18411218,""s"":0.46236771,""n"":0.7692228,""m"":432.79386734,""h"":62012.26109547}]"
mdamanha,-100,VG,"[{""r"":0.16385839,""s"":0.44825723,""a"":0.01185017,""n"":1.51679447}]"
mdamanha,-200,FX,"[{""r"":-0.58436975,""s"":0.38762252,""n"":1.13737615,""m"":0.18956543,""h"":21.34723863}]"
mdamanha,-200,VG,"[{""r"":0.0426939,""s"":0.38199324,""a"":0.01058794,""n"":1.34893583}]"
mdamanha,-500,FX,"[{""r"":0.00105735,""s"":0.46171828,""n"":1.74829483,""m"":0.91541319,""h"":6.2396266}]"
mdamanha,-500,VG,"[{""r"":0.04992247,""s"":0.46525345,""a"":0.04163099,""n"":1.74246159}]"
mdamiles,-100,FX,"[{""r"":-21.57005164,""s"":0.42444542,""n"":1.40974637,""m"":0.00668293,""h"":9.73739499}]"
mdamiles,-100,VG,"[{""r"":0.00075006,""s"":0.4301036,""a"":0.05063617,""n"":1.24107412}]"
mdamiles,-200,FX,"[{""r"":-7.77370841,""s"":0.36041799,""n"":1.79503624,""m"":0.01464704,""h"":10.62780016}]"
mdamiles,-200,VG,"[{""r"":0.03139877,""s"":0.36868119,""a"":0.0288835,""n"":1.35631646}]"
mdamiles,-500,FX,"[{""r"":-1.86906649,""s"":1.50248222,""n"":0.83301597,""m"":0.21134954,""h"":0.01135216}]"
mdamiles,-500,VG,"[{""r"":-0.06251901,""s"":0.78894073,""a"":3.85311738,""n"":1.13462213}]"
mdaoilmo,-100,FX,"[{""r"":-10.94102554,""s"":0.46260716,""n"":2.38845877,""m"":0.01103527,""h"":2.09947758}]"
mdaoilmo,-100,VG,"[{""r"":0.05233847,""s"":0.53599891,""a"":0.79416066,""n"":1.30168072}]"
mdaoilmo,-200,FX,"[{""r"":-7.00534614,""s"":0.47783699,""n"":3.16180692,""m"":0.01699011,""h"":3.10532507}]"
